"Label (Grouping)","San Francisco County, California!!Estimate","San Francisco County, California!!Margin of Error"
"Total:","368,083","±7,707"
"    12:00 a.m. to 4:59 a.m.","7,679","±1,687"
"    5:00 a.m. to 5:29 a.m.","6,754","±1,605"
"    5:30 a.m. to 5:59 a.m.","7,956","±1,572"
"    6:00 a.m. to 6:29 a.m.","18,409","±3,163"
"    6:30 a.m. to 6:59 a.m.","20,846","±3,159"
"    7:00 a.m. to 7:29 a.m.","48,784","±4,255"
"    7:30 a.m. to 7:59 a.m.","43,143","±3,620"
"    8:00 a.m. to 8:29 a.m.","67,832","±5,119"
"    8:30 a.m. to 8:59 a.m.","40,335","±3,193"
"    9:00 a.m. to 11:59 p.m.","106,345","±5,914"
"    Car, truck, or van - drove alone:","142,260","±5,890"
"        12:00 a.m. to 4:59 a.m.","3,589","±1,249"
"        5:00 a.m. to 5:29 a.m.","3,940","±1,283"
"        5:30 a.m. to 5:59 a.m.","4,260","±988"
"        6:00 a.m. to 6:29 a.m.","8,753","±1,920"
"        6:30 a.m. to 6:59 a.m.","9,563","±1,938"
"        7:00 a.m. to 7:29 a.m.","20,318","±2,444"
"        7:30 a.m. to 7:59 a.m.","15,579","±2,061"
"        8:00 a.m. to 8:29 a.m.","24,295","±2,139"
"        8:30 a.m. to 8:59 a.m.","12,992","±1,956"
"        9:00 a.m. to 11:59 p.m.","38,971","±3,244"
"    Car, truck, or van - carpooled:","27,865","±3,644"
"        12:00 a.m. to 4:59 a.m.","828","±528"
"        5:00 a.m. to 5:29 a.m.","415","±299"
"        5:30 a.m. to 5:59 a.m.","750","±501"
"        6:00 a.m. to 6:29 a.m.","642","±472"
"        6:30 a.m. to 6:59 a.m.","2,836","±1,410"
"        7:00 a.m. to 7:29 a.m.","4,458","±1,911"
"        7:30 a.m. to 7:59 a.m.","3,630","±1,331"
"        8:00 a.m. to 8:29 a.m.","5,098","±1,851"
"        8:30 a.m. to 8:59 a.m.","2,131","±770"
"        9:00 a.m. to 11:59 p.m.","7,077","±1,677"
"    Public transportation:","117,279","±6,864"
"        12:00 a.m. to 4:59 a.m.","1,799","±923"
"        5:00 a.m. to 5:29 a.m.","1,128","±600"
"        5:30 a.m. to 5:59 a.m.","1,733","±719"
"        6:00 a.m. to 6:29 a.m.","6,529","±1,897"
"        6:30 a.m. to 6:59 a.m.","5,526","±1,592"
"        7:00 a.m. to 7:29 a.m.","16,862","±2,452"
"        7:30 a.m. to 7:59 a.m.","15,360","±2,369"
"        8:00 a.m. to 8:29 a.m.","22,403","±3,067"
"        8:30 a.m. to 8:59 a.m.","14,260","±1,967"
"        9:00 a.m. to 11:59 p.m.","31,679","±3,743"
"    Taxi or ride-hailing services, motorcycle, bicycle, walked, or other means:","80,679","±5,544"
"        12:00 a.m. to 4:59 a.m.","1,463","±681"
"        5:00 a.m. to 5:29 a.m.","1,271","±734"
"        5:30 a.m. to 5:59 a.m.","1,213","±636"
"        6:00 a.m. to 6:29 a.m.","2,485","±948"
"        6:30 a.m. to 6:59 a.m.","2,921","±1,196"
"        7:00 a.m. to 7:29 a.m.","7,146","±1,470"
"        7:30 a.m. to 7:59 a.m.","8,574","±1,444"
"        8:00 a.m. to 8:29 a.m.","16,036","±2,456"
"        8:30 a.m. to 8:59 a.m.","10,952","±1,946"
"        9:00 a.m. to 11:59 p.m.","28,618","±3,442"
