Month,Route,Service Category,Service Day of the Week,Average Daily Boardings
April 2019,1,Bus,Weekday,"2,646"
April 2019,12,Bus,Weekday,"2,646"
April 2019,14,Bus,Weekday,"2,646"
April 2019,14R,Bus,Weekday,"2,646"
April 2019,15,Bus,Weekday,"2,646"
April 2019,18,Bus,Weekday,"2,646"
April 2019,19,Bus,Weekday,"2,646"
April 2019,1X,Bus,Weekday,"2,646"
April 2019,2,Bus,Weekday,"2,646"
April 2019,22,Bus,Weekday,"2,646"
April 2019,23,Bus,Weekday,"2,646"
April 2019,24,Bus,Weekday,"2,646"
April 2019,25,Bus,Weekday,"2,646"
April 2019,27,Bus,Weekday,"2,646"
April 2019,28,Bus,Weekday,"2,646"
April 2019,28R,Bus,Weekday,"2,646"
April 2019,29,Bus,Weekday,"2,646"
April 2019,30,Bus,Weekday,"2,646"
April 2019,30X,Bus,Weekday,"2,646"
April 2019,31,Bus,Weekday,"2,646"
April 2019,33,Bus,Weekday,"2,646"
April 2019,35,Bus,Weekday,"2,646"
April 2019,36,Bus,Weekday,"2,646"
April 2019,37,Bus,Weekday,"2,646"
April 2019,38,Bus,Weekday,"2,646"
April 2019,38R,Bus,Weekday,"2,646"
April 2019,39,Bus,Weekday,"2,646"
April 2019,43,Bus,Weekday,"2,646"
April 2019,44,Bus,Weekday,"2,646"
April 2019,45,Bus,Weekday,"2,646"
April 2019,48,Bus,Weekday,"2,646"
April 2019,49,Bus,Weekday,"2,646"
April 2019,5,Bus,Weekday,"2,646"
April 2019,52,Bus,Weekday,"2,646"
April 2019,54,Bus,Weekday,"2,646"
April 2019,55,Bus,Weekday,"2,646"
April 2019,56,Bus,Weekday,"2,646"
April 2019,57,Bus,Weekday,"2,646"
April 2019,58,Bus,Weekday,"2,646"
April 2019,5R,Bus,Weekday,"2,646"
April 2019,1,Bus,Saturday,"1,998"
April 2019,12,Bus,Saturday,"1,998"
April 2019,14,Bus,Saturday,"1,998"
April 2019,14R,Bus,Saturday,"1,998"
April 2019,15,Bus,Saturday,"1,998"
April 2019,18,Bus,Saturday,"1,998"
April 2019,19,Bus,Saturday,"1,998"
April 2019,1X,Bus,Saturday,"1,998"
April 2019,2,Bus,Saturday,"1,998"
April 2019,22,Bus,Saturday,"1,998"
April 2019,23,Bus,Saturday,"1,998"
April 2019,24,Bus,Saturday,"1,998"
April 2019,25,Bus,Saturday,"1,998"
April 2019,27,Bus,Saturday,"1,998"
April 2019,28,Bus,Saturday,"1,998"
April 2019,28R,Bus,Saturday,"1,998"
April 2019,29,Bus,Saturday,"1,998"
April 2019,30,Bus,Saturday,"1,998"
April 2019,30X,Bus,Saturday,"1,998"
April 2019,31,Bus,Saturday,"1,998"
April 2019,33,Bus,Saturday,"1,998"
April 2019,35,Bus,Saturday,"1,998"
April 2019,36,Bus,Saturday,"1,998"
April 2019,37,Bus,Saturday,"1,998"
April 2019,38,Bus,Saturday,"1,998"
April 2019,38R,Bus,Saturday,"1,998"
April 2019,39,Bus,Saturday,"1,998"
April 2019,43,Bus,Saturday,"1,998"
April 2019,44,Bus,Saturday,"1,998"
April 2019,45,Bus,Saturday,"1,998"
April 2019,48,Bus,Saturday,"1,998"
April 2019,49,Bus,Saturday,"1,998"
April 2019,5,Bus,Saturday,"1,998"
April 2019,52,Bus,Saturday,"1,998"
April 2019,54,Bus,Saturday,"1,998"
April 2019,55,Bus,Saturday,"1,998"
April 2019,56,Bus,Saturday,"1,998"
April 2019,57,Bus,Saturday,"1,998"
April 2019,58,Bus,Saturday,"1,998"
April 2019,5R,Bus,Saturday,"1,998"
April 2019,1,Bus,Sunday,"1,522"
April 2019,12,Bus,Sunday,"1,522"
April 2019,14,Bus,Sunday,"1,522"
April 2019,14R,Bus,Sunday,"1,522"
April 2019,15,Bus,Sunday,"1,522"
April 2019,18,Bus,Sunday,"1,522"
April 2019,19,Bus,Sunday,"1,522"
April 2019,1X,Bus,Sunday,"1,522"
April 2019,2,Bus,Sunday,"1,522"
April 2019,22,Bus,Sunday,"1,522"
April 2019,23,Bus,Sunday,"1,522"
April 2019,24,Bus,Sunday,"1,522"
April 2019,25,Bus,Sunday,"1,522"
April 2019,27,Bus,Sunday,"1,522"
April 2019,28,Bus,Sunday,"1,522"
April 2019,28R,Bus,Sunday,"1,522"
April 2019,29,Bus,Sunday,"1,522"
April 2019,30,Bus,Sunday,"1,522"
April 2019,30X,Bus,Sunday,"1,522"
April 2019,31,Bus,Sunday,"1,522"
April 2019,33,Bus,Sunday,"1,522"
April 2019,35,Bus,Sunday,"1,522"
April 2019,36,Bus,Sunday,"1,522"
April 2019,37,Bus,Sunday,"1,522"
April 2019,38,Bus,Sunday,"1,522"
April 2019,38R,Bus,Sunday,"1,522"
April 2019,39,Bus,Sunday,"1,522"
April 2019,43,Bus,Sunday,"1,522"
April 2019,44,Bus,Sunday,"1,522"
April 2019,45,Bus,Sunday,"1,522"
April 2019,48,Bus,Sunday,"1,522"
April 2019,49,Bus,Sunday,"1,522"
April 2019,5,Bus,Sunday,"1,522"
April 2019,52,Bus,Sunday,"1,522"
April 2019,54,Bus,Sunday,"1,522"
April 2019,55,Bus,Sunday,"1,522"
April 2019,56,Bus,Sunday,"1,522"
April 2019,57,Bus,Sunday,"1,522"
April 2019,58,Bus,Sunday,"1,522"
April 2019,5R,Bus,Sunday,"1,522"
