Month,Route,Service Category,Service Day of the Week,Average Daily Boardings
August 2019,1,Bus,Weekday,"2,664"
August 2019,12,Bus,Weekday,"2,646"
August 2019,14,Bus,Weekday,"2,690"
August 2019,15,Bus,Weekday,"2,660"
August 2019,18,Bus,Weekday,"2,679"
August 2019,19,Bus,Weekday,"2,662"
August 2019,2,Bus,Weekday,"2,713"
August 2019,22,Bus,Weekday,"2,631"
August 2019,23,Bus,Weekday,"2,672"
August 2019,24,Bus,Weekday,"2,672"
August 2019,25,Bus,Weekday,"2,635"
August 2019,27,Bus,Weekday,"2,691"
August 2019,28,Bus,Weekday,"2,644"
August 2019,CA,Cable Car,Weekday,"2,690"
August 2019,PH,Cable Car,Weekday,"2,686"
August 2019,PM,Cable Car,Weekday,"2,678"
August 2019,F,Light Rail,Weekday,"2,683"
August 2019,FBUS,Light Rail,Weekday,"2,657"
August 2019,J,Light Rail,Weekday,"2,672"
August 2019,K,Light Rail,Weekday,"2,663"
August 2019,L,Light Rail,Weekday,"2,645"
August 2019,M,Light Rail,Weekday,"2,703"
August 2019,N,Light Rail,Weekday,"2,654"
August 2019,T,Light Rail,Weekday,"2,672"
August 2019,14R,Bus,Weekday,"2,675"
August 2019,1X,Bus,Weekday,"2,637"
August 2019,28R,Bus,Weekday,"2,614"
August 2019,29,Bus,Weekday,"2,702"
August 2019,30,Bus,Weekday,"2,680"
August 2019,30X,Bus,Weekday,"2,673"
August 2019,31,Bus,Weekday,"2,668"
August 2019,33,Bus,Weekday,"2,703"
August 2019,35,Bus,Weekday,"2,604"
August 2019,36,Bus,Weekday,"2,652"
August 2019,37,Bus,Weekday,"2,669"
August 2019,38,Bus,Weekday,"2,658"
August 2019,38R,Bus,Weekday,"2,668"
August 2019,39,Bus,Weekday,"2,699"
August 2019,43,Bus,Weekday,"2,666"
August 2019,44,Bus,Weekday,"2,650"
August 2019,1,Bus,Saturday,"1,876"
August 2019,12,Bus,Saturday,"1,956"
August 2019,14,Bus,Saturday,"1,921"
August 2019,15,Bus,Saturday,"1,810"
August 2019,18,Bus,Saturday,"1,917"
August 2019,19,Bus,Saturday,"1,856"
August 2019,2,Bus,Saturday,"1,845"
August 2019,22,Bus,Saturday,"1,851"
August 2019,23,Bus,Saturday,"1,933"
August 2019,24,Bus,Saturday,"1,869"
August 2019,25,Bus,Saturday,"1,906"
August 2019,27,Bus,Saturday,"1,926"
August 2019,28,Bus,Saturday,"1,953"
August 2019,CA,Cable Car,Saturday,"1,951"
August 2019,PH,Cable Car,Saturday,"1,966"
August 2019,PM,Cable Car,Saturday,"1,938"
August 2019,F,Light Rail,Saturday,"1,948"
August 2019,FBUS,Light Rail,Saturday,"1,846"
August 2019,J,Light Rail,Saturday,"1,876"
August 2019,K,Light Rail,Saturday,"1,788"
August 2019,L,Light Rail,Saturday,"1,894"
August 2019,M,Light Rail,Saturday,"1,860"
August 2019,N,Light Rail,Saturday,"1,867"
August 2019,T,Light Rail,Saturday,"1,843"
August 2019,14R,Bus,Saturday,"1,843"
August 2019,1X,Bus,Saturday,"1,838"
August 2019,28R,Bus,Saturday,"1,863"
August 2019,29,Bus,Saturday,"1,848"
August 2019,30,Bus,Saturday,"1,922"
August 2019,30X,Bus,Saturday,"1,912"
August 2019,31,Bus,Saturday,"1,975"
August 2019,33,Bus,Saturday,"1,866"
August 2019,35,Bus,Saturday,"1,857"
August 2019,36,Bus,Saturday,"1,881"
August 2019,37,Bus,Saturday,"1,919"
August 2019,38,Bus,Saturday,"1,913"
August 2019,38R,Bus,Saturday,"1,876"
August 2019,39,Bus,Saturday,"1,868"
August 2019,43,Bus,Saturday,"1,887"
August 2019,44,Bus,Saturday,"1,874"
August 2019,1,Bus,Sunday,"1,486"
August 2019,12,Bus,Sunday,"1,491"
August 2019,14,Bus,Sunday,"1,525"
August 2019,15,Bus,Sunday,"1,576"
August 2019,18,Bus,Sunday,"1,504"
August 2019,19,Bus,Sunday,"1,531"
August 2019,2,Bus,Sunday,"1,507"
August 2019,22,Bus,Sunday,"1,479"
August 2019,23,Bus,Sunday,"1,502"
August 2019,24,Bus,Sunday,"1,512"
August 2019,25,Bus,Sunday,"1,450"
August 2019,27,Bus,Sunday,"1,503"
August 2019,28,Bus,Sunday,"1,558"
August 2019,CA,Cable Car,Sunday,"1,517"
August 2019,PH,Cable Car,Sunday,"1,620"
August 2019,PM,Cable Car,Sunday,"1,460"
August 2019,F,Light Rail,Sunday,"1,524"
August 2019,FBUS,Light Rail,Sunday,"1,526"
August 2019,J,Light Rail,Sunday,"1,547"
August 2019,K,Light Rail,Sunday,"1,546"
August 2019,L,Light Rail,Sunday,"1,531"
August 2019,M,Light Rail,Sunday,"1,574"
August 2019,N,Light Rail,Sunday,"1,555"
August 2019,T,Light Rail,Sunday,"1,510"
August 2019,14R,Bus,Sunday,"1,466"
August 2019,1X,Bus,Sunday,"1,496"
August 2019,28R,Bus,Sunday,"1,570"
August 2019,29,Bus,Sunday,"1,529"
August 2019,30,Bus,Sunday,"1,551"
August 2019,30X,Bus,Sunday,"1,464"
August 2019,31,Bus,Sunday,"1,534"
August 2019,33,Bus,Sunday,"1,528"
August 2019,35,Bus,Sunday,"1,620"
August 2019,36,Bus,Sunday,"1,540"
August 2019,37,Bus,Sunday,"1,528"
August 2019,38,Bus,Sunday,"1,505"
August 2019,38R,Bus,Sunday,"1,528"
August 2019,39,Bus,Sunday,"1,562"
August 2019,43,Bus,Sunday,"1,574"
August 2019,44,Bus,Sunday,"1,520"
