Month,Route,Service Category,Service Day of the Week,Average Daily Boardings
September 2019,1,Bus,Sunday,"1,804"
September 2019,12,Bus,Sunday,"1,727"
September 2019,14,Bus,Sunday,"1,788"
September 2019,15,Bus,Sunday,"1,845"
September 2019,18,Bus,Sunday,"1,751"
September 2019,19,Bus,Sunday,"1,826"
September 2019,2,Bus,Sunday,"1,735"
September 2019,22,Bus,Sunday,"1,739"
September 2019,23,Bus,Sunday,"1,740"
September 2019,24,Bus,Sunday,"1,812"
September 2019,25,Bus,Sunday,"1,799"
September 2019,27,Bus,Sunday,"1,836"
September 2019,28,Bus,Sunday,"1,902"
September 2019,29,Bus,Sunday,"1,741"
September 2019,30,Bus,Sunday,"1,752"
September 2019,31,Bus,Sunday,"1,795"
September 2019,33,Bus,Sunday,"1,781"
September 2019,35,Bus,Sunday,"1,770"
September 2019,36,Bus,Sunday,"1,743"
September 2019,37,Bus,Sunday,"1,817"
September 2019,38,Bus,Sunday,"1,757"
September 2019,39,Bus,Sunday,"1,806"
September 2019,43,Bus,Sunday,"1,838"
September 2019,44,Bus,Sunday,"1,824"
September 2019,45,Bus,Sunday,"1,755"
September 2019,48,Bus,Sunday,"1,703"
September 2019,49,Bus,Sunday,"1,778"
September 2019,5,Bus,Sunday,"1,788"
September 2019,52,Bus,Sunday,"1,778"
September 2019,54,Bus,Sunday,"1,778"
September 2019,55,Bus,Sunday,"1,860"
September 2019,56,Bus,Sunday,"1,773"
September 2019,57,Bus,Sunday,"1,833"
September 2019,58,Bus,Sunday,"1,754"
September 2019,6,Bus,Sunday,"1,858"
September 2019,66,Bus,Sunday,"1,791"
September 2019,67,Bus,Sunday,"1,811"
September 2019,7,Bus,Sunday,"1,788"
September 2019,8,Bus,Sunday,"1,809"
September 2019,9,Bus,Sunday,"1,841"
September 2019,90,Bus,Sunday,"1,842"
September 2019,91,Bus,Sunday,"1,789"
September 2019,14R,Bus,Sunday,"1,759"
September 2019,1X,Bus,Sunday,"1,813"
September 2019,28R,Bus,Sunday,"1,830"
September 2019,30X,Bus,Sunday,"1,820"
September 2019,38R,Bus,Sunday,"1,753"
September 2019,5R,Bus,Sunday,"1,783"
September 2019,8AX,Bus,Sunday,"1,874"
September 2019,8BX,Bus,Sunday,"1,832"
September 2019,9R,Bus,Sunday,"1,727"
September 2019,KBUS,Bus,Sunday,"1,795"
September 2019,LOWL,Bus,Sunday,"1,854"
September 2019,NBUS,Bus,Sunday,"1,754"
